ID	Par1	Par2	DH
1	0	0	1
2	0	0	1
3	0	0	1
4	0	0	1
5	0	0	1
6	0	0	1
7	0	0	1
8	0	0	1
9	0	0	1
10	0	0	1
11	0	0	1
12	0	0	1
13	0	0	1
14	0	0	1
15	0	0	1
16	0	0	1
17	0	0	1
18	0	0	1
19	0	0	1
20	0	0	1
21	0	0	1
22	0	0	1
23	0	0	1
24	0	0	1
25	0	0	1
26	0	0	1
27	7	10	0
28	25	6	0
29	8	7	0
30	18	24	0
31	7	20	0
32	8	2	0
33	5	4	0
34	19	12	0
35	23	17	0
36	6	5	0
37	9	15	0
38	8	6	0
39	11	13	0
40	16	15	0
41	13	26	0
42	5	4	0
43	21	3	0
44	4	11	0
45	2	16	0
46	14	2	0
47	10	18	0
48	17	22	0
49	12	14	0
50	3	9	0
51	3	9	0
52	27	0	1
53	27	0	1
54	27	0	1
55	27	0	1
56	27	0	1
57	27	0	1
58	27	0	1
59	27	0	1
60	27	0	1
61	27	0	1
62	27	0	1
63	27	0	1
64	27	0	1
65	27	0	1
66	27	0	1
67	27	0	1
68	27	0	1
69	27	0	1
70	27	0	1
71	27	0	1
72	27	0	1
73	27	0	1
74	27	0	1
75	27	0	1
76	27	0	1
77	27	0	1
78	27	0	1
79	27	0	1
80	27	0	1
81	27	0	1
82	27	0	1
83	27	0	1
84	27	0	1
85	27	0	1
86	27	0	1
87	27	0	1
88	27	0	1
89	27	0	1
90	27	0	1
91	27	0	1
92	27	0	1
93	27	0	1
94	27	0	1
95	27	0	1
96	27	0	1
97	27	0	1
98	27	0	1
99	27	0	1
100	27	0	1
101	27	0	1
102	28	0	1
103	28	0	1
104	28	0	1
105	28	0	1
106	28	0	1
107	28	0	1
108	28	0	1
109	28	0	1
110	28	0	1
111	28	0	1
112	28	0	1
113	28	0	1
114	28	0	1
115	28	0	1
116	28	0	1
117	28	0	1
118	28	0	1
119	28	0	1
120	28	0	1
121	28	0	1
122	28	0	1
123	28	0	1
124	28	0	1
125	28	0	1
126	28	0	1
127	28	0	1
128	28	0	1
129	28	0	1
130	28	0	1
131	28	0	1
132	28	0	1
133	28	0	1
134	28	0	1
135	28	0	1
136	28	0	1
137	28	0	1
138	28	0	1
139	28	0	1
140	28	0	1
141	28	0	1
142	28	0	1
143	28	0	1
144	28	0	1
145	28	0	1
146	28	0	1
147	28	0	1
148	28	0	1
149	28	0	1
150	28	0	1
151	28	0	1
152	29	0	1
153	29	0	1
154	29	0	1
155	29	0	1
156	29	0	1
157	29	0	1
158	29	0	1
159	29	0	1
160	29	0	1
161	29	0	1
162	29	0	1
163	29	0	1
164	29	0	1
165	29	0	1
166	29	0	1
167	29	0	1
168	29	0	1
169	29	0	1
170	29	0	1
171	29	0	1
172	29	0	1
173	29	0	1
174	29	0	1
175	29	0	1
176	29	0	1
177	29	0	1
178	29	0	1
