ID, Trait
52, 1193.71
53, 1202.99
54, 1194.97
55, 1192.72
56, 1190.47
57, 1197.26
58, 1198.4
59, 1195.68
60, 1200.11
61, 1194.75
62, 1196.33
63, 1203.07
64, 1199.21
65, 1191.61
66, 1192.72
67, 1182.52
68, 1191.69
69, 1178.05
70, 1198.72
71, 1192.74
72, 1191.89
73, 1202.05
74, 1199.63
75, 1203.09
76, 1200.29
77, 1189.61
78, 1193.36
79, 1192.95
80, 1195.18
81, 1190.6
82, 1178.17
83, 1176.07
84, 1189.32
85, 1198.72
86, 1194.17
87, 1184.43
88, 1203.89
89, 1185.78
90, 1191.06
91, 1180.67
92, 1187.19
93, 1203.47
94, 1183.67
95, 1210.33
96, 1178.8
97, 1191.43
98, 1183.3
99, 1199.44
100, 1198.08
101, 1197.64
102, 1189.95
103, 1194.23
104, 1200.91
105, 1194.31
106, 1188.49
107, 1192.28
108, 1210.71
109, 1187.79
110, 1206.55
111, 1198.51
112, 1194.3
113, 1185.83
114, 1186.86
115, 1197.06
116, 1194.7
117, 1194.64
118, 1200.31
119, 1185.74
120, 1187.19
121, 1196.7
122, 1177.41
123, 1184.45
124, 1200.77
125, 1182.45
126, 1178.7
127, 1183.37
128, 1193.61
129, 1195.03
130, 1211.61
131, 1192.38
132, 1194.37
133, 1180.41
134, 1204.88
135, 1187.86
136, 1200.47
137, 1194.14
138, 1188.79
139, 1202.26
140, 1185.62
141, 1187.22
142, 1197.4
143, 1194.45
144, 1189.2
145, 1183.75
146, 1184.83
147, 1196.93
148, 1189.13
149, 1183.62
150, 1190.72
151, 1198.99
152, 1194.9
153, 1203.6
154, 1185.83
155, 1203.28
156, 1185.93
157, 1190.66
158, 1200.77
159, 1199.78
160, 1201.45
161, 1188.26
162, 1182.22
163, 1187.89
164, 1198.09
165, 1195.62
166, 1197.51
167, 1188.66
168, 1194.36
169, 1210.93
170, 1214.37
171, 1197.49
172, 1195.6
173, 1202.2
174, 1188.22
175, 1202.73
176, 1194.48
177, 1189.66
178, 1186.91
179, 1208.41
180, 1197.26
181, 1186.86
182, 1201.23
183, 1198.72
184, 1206.56
185, 1190.87
186, 1203.88
187, 1188.51
188, 1200.07
189, 1183.83
190, 1214.47
191, 1191.58
192, 1200.23
193, 1212.9
194, 1176.32
195, 1200.24
196, 1193.34
197, 1196.85
198, 1198.81
199, 1195.36
200, 1201.8
201, 1181.57
202, 1197.35
203, 1185.08
204, 1208.8
205, 1195.77
206, 1202.42
207, 1203.63
208, 1198.88
209, 1192.46
210, 1205.36
211, 1191.52
212, 1201.23
213, 1204.46
214, 1192.87
215, 1202.68
216, 1188.95
217, 1203.93
218, 1193.56
219, 1207.16
220, 1188.67
221, 1194.87
222, 1198.53
223, 1199.08
224, 1191.62
225, 1199.29
226, 1199.97
227, 1198.6
228, 1192.23
229, 1184.48
230, 1207.82
231, 1199.38
232, 1198.93
233, 1200.45
234, 1181.82
235, 1205.89
236, 1184.81
237, 1197.43
238, 1185.61
239, 1180.08
240, 1191.39
241, 1196.87
242, 1194.96
243, 1195.44
244, 1188.71
245, 1194.04
246, 1193.45
247, 1197.88
248, 1196.32
249, 1194.07
250, 1206.12
251, 1189.26
252, 1199.12
253, 1196.73
254, 1196.58
255, 1201.95
256, 1195.05
257, 1191.57
258, 1204.23
259, 1182.18
260, 1197.1
261, 1182.28
262, 1204.35
263, 1205.57
264, 1189.62
265, 1192.96
266, 1192.22
267, 1194.63
268, 1185.9
269, 1193.34
270, 1186.81
271, 1205.84
272, 1199.83
273, 1203.34
274, 1190.88
275, 1191.65
276, 1193.58
277, 1200.74
278, 1203.79
279, 1191.57
280, 1202.5
281, 1185.88
282, 1199.36
283, 1193.15
284, 1204.99
285, 1195.77
286, 1197.2
287, 1208.29
288, 1198.63
289, 1190.58
290, 1194.3
291, 1208.17
292, 1197.45
293, 1198.68
294, 1188.82
295, 1197.32
296, 1199.87
297, 1186.41
298, 1194.51
299, 1199.5
300, 1211.87
301, 1199.51
302, 1190.16
303, 1206.6
304, 1194.4
305, 1198.45
306, 1184.49
307, 1202.82
308, 1189.52
309, 1209.44
310, 1198.93
311, 1199.89
312, 1202.3
313, 1200.21
314, 1190.34
315, 1198.82
316, 1205.5
317, 1197.18
318, 1180.79
319, 1188.84
320, 1199.33
321, 1192.78
322, 1196.51
323, 1199.51
324, 1186.28
325, 1201.28
326, 1195.53
327, 1187.06
328, 1185.25
329, 1195.56
330, 1199.43
331, 1191.03
332, 1192.48
333, 1191.12
334, 1190.38
335, 1203.71
336, 1194.43
337, 1195.16
338, 1186.88
339, 1211.22
340, 1203.97
341, 1188.48
342, 1200.63
343, 1197.73
344, 1198.01
345, 1192.7
346, 1200.63
347, 1196.72
348, 1191.72
349, 1198.64
350, 1199.64
351, 1184.84
352, 1192.41
353, 1202
354, 1198.01
355, 1207.77
356, 1193.43
357, 1205.27
358, 1197.73
359, 1198.78
360, 1202.71
361, 1178.15
362, 1194.19
363, 1205.33
364, 1197.06
365, 1215.89
366, 1207.14
367, 1207.64
