chr	pos
1	3.26667
1	3.6
1	4.16
1	7.85333
1	9.16
1	9.85333
1	10.0533
1	10.64
1	11.92
1	14.0267
1	14.72
1	35.7733
1	37.1467
1	40
1	46.2933
1	55.92
1	79.2933
1	81.1333
1	81.4133
1	81.6
1	82.2267
1	84.6533
1	87.4933
1	92.4133
1	95.3867
1	108.747
1	109.773
1	111.68
1	114.613
1	115.933
1	118.747
1	118.933
1	119.413
1	124.587
1	133.187
1	137.2
1	145.187
1	146.28
1	146.96
1	147.267
1	147.707
1	148.52
1	150.56
1	151.52
1	152.84
1	159.893
1	160.467
2	10.84
2	12.0267
2	16.0667
2	22.5333
2	24.36
2	24.6533
2	24.8
2	25.2133
2	32.8
2	33.5733
2	41.6133
2	42.68
2	48.4667
2	52.24
2	55.84
2	58.16
2	59.4267
2	61.6
2	65.7867
2	66.3733
2	68.2933
2	70.3467
2	73.2267
2	73.4933
2	74.1333
2	76.9467
2	78.4933
2	80.12
2	80.2
2	82.8
2	86.8267
2	89.12
2	90.8667
2	91.52
2	98.0267
2	99.92
2	101.627
2	111.373
2	112.453
2	112.613
2	113.013
2	115.387
2	115.493
2	118.213
2	120.413
2	120.68
2	125.307
2	145.24
2	145.507
2	145.787
2	154.32
2	158.053
2	159.04
2	159.667
3	1.10667
3	1.53333
3	2.45333
3	2.72
3	3.58667
3	4.73333
3	11.0533
3	11.28
3	11.5333
3	11.6133
3	11.8533
3	12.64
3	12.8667
3	18.8267
3	19.6133
3	23.92
3	30.0533
3	31.6267
3	32.5467
3	34.2267
3	36.52
3	36.9733
3	52.6133
3	57.3467
3	58.0933
3	58.56
3	59.4133
3	62.9067
3	69.1467
3	69.5467
3	69.6267
3	80.6
3	91.9467
3	93.5733
3	93.9067
3	97.9333
3	100.32
3	101.96
3	104.6
3	106.987
3	107.2
3	108.627
3	110.36
3	111.067
3	117.667
3	118.667
3	119.013
3	120.333
3	120.467
3	123.32
3	124.44
3	125.267
3	127.2
3	133.973
3	134.787
3	134.987
3	137.8
3	138.88
3	142.173
3	147.307
3	148.053
3	149.227
3	149.573
3	150.64
3	152.147
3	153.587
3	155.56
3	158.16
3	158.56
3	159.107
4	5.2
4	11.4
4	12.0133
4	14.16
4	14.24
4	14.52
4	15.24
4	16.3467
4	16.84
4	17.8133
4	20.6
4	21.0267
4	21.8667
4	23.8667
4	35.12
4	35.76
4	35.96
4	37.2133
4	41.4533
4	42.56
4	42.6133
4	43.56
4	44.8667
4	45.2933
4	49.16
4	50.1333
4	51.72
4	60.84
4	63.3067
4	65.2533
4	69.3733
4	72.2267
4	80.08
4	81.0133
4	82.9733
4	91.5067
4	98.84
4	103.147
4	103.507
4	104.227
4	104.413
4	110.133
4	110.453
4	111.773
4	111.84
4	119.267
4	128.213
4	129.12
4	130.707
4	133.827
4	134.013
4	134.253
4	134.773
4	135.067
4	135.2
4	135.653
4	137.387
4	137.44
4	141.08
4	141.52
4	142.787
4	144.187
4	145
4	146.613
4	148.187
4	148.933
4	149.253
4	152.387
4	152.493
4	152.693
4	152.813
4	157.453
4	158.627
4	160.973
5	1.50667
5	2.14667
5	3.05333
5	11.72
5	19.7867
5	24.88
5	25.3733
5	25.9333
5	26.7467
5	27.0267
5	27.3867
5	30.6
5	33.2533
5	35.5733
5	49.68
5	51.8133
5	55.24
5	55.7067
5	57.2667
5	58.0533
5	62.8667
5	63.7067
5	64.4133
5	69.5467
5	70.4133
5	76.32
5	77.28
5	78.0133
5	78.3733
5	78.68
5	78.9733
5	80.0933
5	87.1867
5	90.2267
5	92.1467
5	92.3333
5	98.4933
5	99.84
5	109.973
5	110.293
5	110.413
5	113.653
5	120.733
5	124.347
5	129.067
5	131.667
5	132.52
5	132.827
5	134.52
5	136.08
5	146.547
5	147.013
5	148.28
5	154.107
5	156.613
5	157.787
6	4.13333
6	9.25333
6	11.4933
6	12.5333
6	16.52
6	27.8533
6	28.1333
6	31.6
6	33.16
6	35.72
6	40.0533
6	40.2533
6	47.24
6	55.3867
6	55.6667
6	56.32
6	57.9067
6	58.16
6	58.3333
6	58.4667
6	58.7467
6	60.4133
6	62.3333
6	69.0933
6	69.56
6	71.8267
6	76.3067
6	76.92
6	80.9467
6	82.9333
6	91.3867
6	94.6267
6	94.8933
6	96.6133
6	98.2533
6	104.493
6	105.88
6	108.2
6	108.573
6	108.987
6	115.627
6	124.72
6	124.907
6	125.36
6	126.333
6	126.787
6	134.44
6	135.907
6	138.507
6	138.773
6	139.387
6	139.573
6	140.28
6	140.573
6	141.16
6	142.96
6	143.347
6	144.32
6	146.067
6	156.773
6	158.573
7	4.56
7	7.33333
7	8.22667
7	8.58667
7	8.98667
7	12.0667
7	12.4133
7	13.4533
7	14.3733
7	19.04
7	26.1867
7	26.3867
7	27.1867
7	30.36
7	30.5733
7	31.2667
7	32.72
7	36.5067
7	37.9333
7	39.56
7	41.56
7	41.8133
7	47.7733
7	49.12
7	50.2267
7	53.1467
7	54.0133
7	56.1733
7	65.0133
7	69.32
7	71.1067
7	72.2933
7	73.9467
7	84.8667
7	85.68
7	89.7467
7	89.8533
7	96.2667
7	97.0667
7	105.04
7	106.147
7	106.2
7	112.12
7	113.707
7	120.827
7	142.387
7	147.12
7	147.4
7	149.573
7	149.893
7	160.253
7	160.96
8	2.38667
8	2.58667
8	2.98667
8	4.61333
8	5.73333
8	7.42667
8	9.32
8	10.32
8	10.8133
8	12.6933
8	13.3333
8	13.5333
8	14.8533
8	15.7733
8	16.04
8	21.5733
8	29.48
8	30.7467
8	31.3467
8	31.84
8	33.4533
8	34.1733
8	35.2533
8	36.6267
8	38.5067
8	43.28
8	44.3067
8	45.72
8	46.92
8	48.2533
8	50.36
8	50.5333
8	51.52
8	52.4933
8	55.3067
8	56.4667
8	57.3867
8	60.3733
8	63.6133
8	64.08
8	64.9067
8	65.6933
8	65.9333
8	67.6
8	68.9867
8	71.64
8	74.84
8	77.1467
8	78.72
8	82.3733
8	82.52
8	88.9733
8	92.2667
8	92.52
8	94.3867
8	96.72
8	105.04
8	105.56
8	114.92
8	117.413
8	120.627
8	121.52
8	122.507
8	123.88
8	124.173
8	124.36
8	124.6
8	125
8	125.507
8	126.267
8	128.587
8	128.853
8	131.147
8	135.267
8	138.133
8	149.933
8	150.107
8	150.307
8	150.4
8	150.613
8	151.96
8	152.52
8	152.92
8	157.4
9	4.56
9	4.94667
9	18.8
9	19.0533
9	19.28
9	20.3067
9	21.5467
9	21.72
9	26.76
9	27.6133
9	29.8133
9	32.9733
9	34.1067
9	37.2933
9	37.5333
9	39.56
9	39.9867
9	40.16
9	40.2533
9	40.56
9	45.56
9	46.2533
9	46.4133
9	46.6667
9	46.9067
9	47.9467
9	50.4533
9	50.96
9	51.1867
9	56.68
9	57.0933
9	57.2267
9	57.6667
9	58.24
9	59.4133
9	64.0533
9	64.6533
9	65.7467
9	66.5733
9	67.0267
9	69.6267
9	70.5067
9	70.7867
9	78.28
9	82.1867
9	87.44
9	87.84
9	90.32
9	92.9867
9	93.7467
9	94.4933
9	94.8
9	96.4
9	98.12
9	99.04
9	99.3067
9	99.4133
9	99.64
9	107.133
9	107.653
9	108.48
9	111.173
9	116.653
9	119.547
9	121.573
9	125.24
9	126.453
9	129.467
9	130.48
9	131.32
9	131.507
9	131.96
9	132.173
9	140.32
9	146.813
9	148.307
9	149.547
9	152.173
9	156.72
9	159.133
9	159.293
10	2.68
10	3.21333
10	3.82667
10	6.65333
10	6.82667
10	8.81333
10	9.78667
10	9.96
10	10.36
10	19.4267
10	23.4667
10	27.88
10	36.4533
10	36.8667
10	37.2
10	37.68
10	38.1067
10	39.6933
10	39.96
10	41.44
10	42.6267
10	46.4133
10	47.0533
10	47.3333
10	50.9467
10	51.44
10	52.4667
10	53.1733
10	53.3867
10	53.6667
10	53.8267
10	54.36
10	54.5067
10	54.7067
10	55.1467
10	55.2133
10	55.4667
10	56.16
10	56.3733
10	56.6533
10	58.3067
10	59.2
10	61.1467
10	62.4
10	62.6667
10	64.7333
10	64.8
10	67.04
10	69.8933
10	70.1333
10	73.6133
10	74.3867
10	74.7067
10	75.2267
10	76.1467
10	76.3467
10	78.7467
10	80.7067
10	81.32
10	83.5467
10	83.84
10	84.16
10	84.2533
10	84.5333
10	84.6133
10	85.1067
10	85.3333
10	85.88
10	87.4933
10	90.6533
10	92.24
10	94.28
10	95.3333
10	99.8933
10	100.52
10	100.653
10	102.467
10	105.267
10	105.88
10	106.893
10	107.773
10	111.387
10	115.147
10	116.213
10	118.173
10	118.733
10	118.92
10	119.173
10	119.547
10	120.12
10	125.507
10	127.027
10	135.627
10	137.173
10	139.653
10	140.24
10	140.733
10	141.307
10	142.453
10	143.013
10	145.173
10	145.6
10	145.88
10	147.107
10	148.827
10	150.08
10	151.04
10	151.373
10	152.413
10	153.467
10	154.773
10	155.133
10	155.2
10	155.773
10	156.587
10	158.04
10	158.28
